timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/29 19:10:19.289, 0 %, 0 %, 3 MiB, 46068 MiB, 31.86 W
2026/03/29 19:10:29.290, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 19:10:39.291, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/03/29 19:10:49.292, 0 %, 0 %, 3 MiB, 46068 MiB, 32.20 W
2026/03/29 19:10:59.292, 0 %, 0 %, 3 MiB, 46068 MiB, 32.19 W
2026/03/29 19:11:09.293, 0 %, 0 %, 3 MiB, 46068 MiB, 32.03 W
2026/03/29 19:11:19.294, 0 %, 0 %, 3 MiB, 46068 MiB, 31.97 W
2026/03/29 19:11:29.295, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 19:11:39.296, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:11:49.297, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:11:59.298, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:12:09.299, 0 %, 0 %, 3 MiB, 46068 MiB, 31.85 W
2026/03/29 19:12:19.300, 0 %, 0 %, 3 MiB, 46068 MiB, 31.84 W
2026/03/29 19:12:29.301, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:12:39.302, 0 %, 0 %, 3 MiB, 46068 MiB, 31.80 W
2026/03/29 19:12:49.303, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:12:59.304, 0 %, 0 %, 3 MiB, 46068 MiB, 31.97 W
2026/03/29 19:13:09.305, 0 %, 0 %, 3 MiB, 46068 MiB, 31.78 W
2026/03/29 19:13:19.306, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:13:29.307, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:13:39.307, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:13:49.308, 0 %, 0 %, 3 MiB, 46068 MiB, 32.10 W
2026/03/29 19:13:59.310, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:14:09.311, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:14:19.312, 0 %, 0 %, 3 MiB, 46068 MiB, 31.74 W
2026/03/29 19:14:29.313, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 19:14:39.314, 0 %, 0 %, 3 MiB, 46068 MiB, 31.72 W
2026/03/29 19:14:49.314, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/03/29 19:14:59.315, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:15:09.316, 0 %, 0 %, 3 MiB, 46068 MiB, 31.94 W
2026/03/29 19:15:19.317, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:15:29.318, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:15:39.319, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 19:15:49.320, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 19:15:59.321, 0 %, 0 %, 3 MiB, 46068 MiB, 31.85 W
2026/03/29 19:16:09.322, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:16:19.323, 0 %, 0 %, 3 MiB, 46068 MiB, 31.68 W
2026/03/29 19:16:29.324, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:16:39.325, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:16:49.326, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 19:16:59.327, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:17:09.328, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:17:19.328, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:17:29.330, 0 %, 0 %, 3 MiB, 46068 MiB, 31.72 W
2026/03/29 19:17:39.331, 0 %, 0 %, 3 MiB, 46068 MiB, 31.71 W
2026/03/29 19:17:49.332, 0 %, 0 %, 3 MiB, 46068 MiB, 32.02 W
2026/03/29 19:17:59.333, 0 %, 0 %, 3 MiB, 46068 MiB, 31.78 W
2026/03/29 19:18:09.334, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:18:19.335, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:18:29.336, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:18:39.337, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:18:49.338, 0 %, 0 %, 3 MiB, 46068 MiB, 31.36 W
2026/03/29 19:18:59.339, 0 %, 0 %, 3 MiB, 46068 MiB, 31.85 W
2026/03/29 19:19:09.340, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/03/29 19:19:19.341, 0 %, 0 %, 3 MiB, 46068 MiB, 31.58 W
2026/03/29 19:19:29.342, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:19:39.343, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:19:49.344, 0 %, 0 %, 3 MiB, 46068 MiB, 31.97 W
2026/03/29 19:19:59.345, 0 %, 0 %, 3 MiB, 46068 MiB, 31.84 W
2026/03/29 19:20:09.346, 0 %, 0 %, 3 MiB, 46068 MiB, 31.81 W
2026/03/29 19:20:19.347, 0 %, 0 %, 3 MiB, 46068 MiB, 31.85 W
2026/03/29 19:20:29.348, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:20:39.349, 0 %, 0 %, 3 MiB, 46068 MiB, 31.77 W
2026/03/29 19:20:49.350, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:20:59.351, 0 %, 0 %, 3 MiB, 46068 MiB, 31.88 W
2026/03/29 19:21:09.351, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:21:19.352, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:21:29.353, 0 %, 0 %, 3 MiB, 46068 MiB, 31.57 W
2026/03/29 19:21:39.354, 0 %, 0 %, 3 MiB, 46068 MiB, 31.68 W
2026/03/29 19:21:49.355, 0 %, 0 %, 3 MiB, 46068 MiB, 31.78 W
2026/03/29 19:21:59.356, 0 %, 0 %, 3 MiB, 46068 MiB, 31.56 W
2026/03/29 19:22:09.357, 0 %, 0 %, 3 MiB, 46068 MiB, 31.57 W
2026/03/29 19:22:19.358, 0 %, 0 %, 3 MiB, 46068 MiB, 31.72 W
2026/03/29 19:22:29.359, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:22:39.360, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:22:49.361, 0 %, 0 %, 3 MiB, 46068 MiB, 31.84 W
2026/03/29 19:22:59.362, 0 %, 0 %, 3 MiB, 46068 MiB, 31.72 W
2026/03/29 19:23:09.363, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:23:19.363, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:23:29.365, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:23:39.366, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:23:49.367, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:23:59.368, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:24:09.368, 0 %, 0 %, 3 MiB, 46068 MiB, 31.98 W
2026/03/29 19:24:19.369, 0 %, 0 %, 3 MiB, 46068 MiB, 31.94 W
2026/03/29 19:24:29.370, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 19:24:39.371, 0 %, 0 %, 3 MiB, 46068 MiB, 32.07 W
2026/03/29 19:24:49.372, 0 %, 0 %, 3 MiB, 46068 MiB, 31.99 W
2026/03/29 19:24:59.373, 0 %, 0 %, 3 MiB, 46068 MiB, 31.81 W
2026/03/29 19:25:09.374, 0 %, 0 %, 3 MiB, 46068 MiB, 31.73 W
2026/03/29 19:25:19.375, 0 %, 0 %, 3 MiB, 46068 MiB, 32.04 W
2026/03/29 19:25:29.376, 0 %, 0 %, 3 MiB, 46068 MiB, 31.97 W
